"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000260802",352.217779591539,1.79041666108083,0.259644499208178,6.89564641862605,5.36204128572528e-12,1.70727394537493e-08
"ENSG00000141753",1005.36277308055,1.06511871147228,0.213913415395393,4.97920483156016,6.38460438496622e-07,0.00101642901808662
"ENSG00000112379",1225.96069521652,-1.01655868452059,0.214191449211111,-4.74602832309453,2.07449676409483e-06,0.00220173256562598
"ENSG00000197956",382.769490214201,1.08630169959658,0.23487675744876,4.62498593473455,3.74623821777029e-06,0.00298200562134515
"ENSG00000064651",582.938022170355,-1.09370373008344,0.248177679997614,-4.40693832778982,1.04842023480756e-05,0.00556361671271214
"ENSG00000137673",568.670148975671,1.49954681875061,0.337831136946123,4.43874662444082,9.04842611174894e-06,0.00556361671271214
"ENSG00000049759",1825.88767836883,-0.895199155241268,0.21015285274886,-4.25975257310002,2.04653323584095e-05,0.00645846910285327
"ENSG00000054690",1285.93442728543,-1.12168683023862,0.26098959199964,-4.29782207652238,1.72484526666803e-05,0.00645846910285327
"ENSG00000124406",303.492557189392,-1.10091451171923,0.259495805019383,-4.24251371476696,2.2103002925052e-05,0.00645846910285327
"ENSG00000139116",288.305883441427,-1.10043092397542,0.259511339771454,-4.24039629614854,2.23125502925207e-05,0.00645846910285327
"ENSG00000157214",2286.33549595393,-1.06930019185778,0.247583137682314,-4.3189540364815,1.56770424659566e-05,0.00645846910285327
"ENSG00000099194",752.867957975323,-1.11710351685685,0.273858676458234,-4.07912406246956,4.52057088662084e-05,0.011581176539243
"ENSG00000152377",2346.84918458364,-1.02277525452138,0.251379098373475,-4.06865670669979,4.72849544629894e-05,0.011581176539243
"ENSG00000131844",1013.65833128334,-1.00970491194154,0.252101192530084,-4.00515722201928,6.19762458132218e-05,0.0136253755608603
"ENSG00000269936",628.566448829724,1.15817225386801,0.289770977655108,3.99685387142704,6.41898974286763e-05,0.0136253755608603
"ENSG00000184678",528.519728253467,-1.14062506467274,0.286591655762014,-3.97996606579473,6.89251062549783e-05,0.0137160961447407
"ENSG00000076706",360.737902879665,1.03749499083548,0.262680445116725,3.94964684323746,7.8266583867249e-05,0.0146588707666659
"ENSG00000096006",1899.59683070287,-1.14007344879328,0.292677060633741,-3.89532902347951,9.80655180422727e-05,0.015042768480159
"ENSG00000127418",502.255091795122,-0.999590091339985,0.254655239261408,-3.92526811637238,8.66331893721426e-05,0.015042768480159
"ENSG00000138696",499.972384302128,-0.962670706760962,0.246846373347626,-3.89987786211169,9.62412263140308e-05,0.015042768480159
"ENSG00000146070",329.917734873209,-1.19081926570655,0.306746798054676,-3.88209191834594,0.000103561714745423,0.015042768480159
"ENSG00000169710",2665.46226664455,-1.03784750428884,0.267403189553647,-3.88120839553644,0.000103938726935772,0.015042768480159
"ENSG00000132386",343.688179787449,0.91258408457144,0.242619875571572,3.76137396996657,0.000168982559934216,0.0228766364906063
"ENSG00000134755",291.370287673754,-1.00567074377563,0.268673804112244,-3.74309191437022,0.000181769700818437,0.0228766364906063
"ENSG00000167757",486.151398298568,-1.16737308213016,0.311978967094852,-3.74183264019603,0.000182683164501291,0.0228766364906063
"ENSG00000210194",265.540776931966,1.42195812164171,0.380587289946176,3.73622072834541,0.000186806705011232,0.0228766364906063
"ENSG00000157110",474.392854318024,0.934936049907124,0.251861993844467,3.71209659558431,0.000205549507180445,0.0242396159578718
"ENSG00000049089",487.041161736864,-0.905109192192844,0.245788101632604,-3.68247765526817,0.000230978118748819,0.0257800635578542
"ENSG00000086205",1444.47387814427,-0.985987097937335,0.269139482123655,-3.66347995529072,0.000248811695563931,0.0257800635578542
"ENSG00000168280",721.182673798949,-0.909460055019828,0.247555159842732,-3.67376731552512,0.000239000391917991,0.0257800635578542
"ENSG00000182718",389.525685863652,0.916380951810621,0.250292640904945,3.66123809512497,0.000250999362529359,0.0257800635578542
"ENSG00000249669",233.51379454187,1.08814903143622,0.301318884778993,3.61128719905606,0.000304681028718016,0.0303157623574426
"ENSG00000087245",526.021425485217,0.855008523530864,0.237576810941321,3.59887196121191,0.000319600485102936,0.0308366043808409
"ENSG00000198467",1965.60249333437,1.03169563786564,0.288937231665876,3.5706566160317,0.000356087464089769,0.033346543695936
"ENSG00000012660",1413.86119163965,-0.848775515132651,0.238314256429787,-3.56158094714204,0.000368628418496,0.0335346538426075
"ENSG00000163431",806.211741717313,0.989804523420043,0.280739984322013,3.52569843519234,0.000422367620487589,0.0366020340795474
"ENSG00000196353",832.805263244297,-0.801451337763075,0.227436793479631,-3.52384205519875,0.00042533770758268,0.0366020340795474
"ENSG00000100097",459.288828193544,0.841169811048995,0.243001732447677,3.46157948166117,0.000537015523945173,0.0392849962740493
"ENSG00000106624",1289.68603143238,0.772326072670512,0.221221922556977,3.49118235545393,0.000480887908969455,0.0392849962740493
"ENSG00000134612",373.214817568784,-1.04675902265193,0.30133774585411,-3.47370695192865,0.000513321333363683,0.0392849962740493
"ENSG00000159403",753.333247144179,0.885292678378795,0.255964558194387,3.45865335663572,0.000542883114339877,0.0392849962740493
"ENSG00000188559",651.792613171271,-0.782584160431411,0.225051494825667,-3.47735597596288,0.000506385020548209,0.0392849962740493
"ENSG00000196586",942.764319172896,-0.916404292123642,0.262846258999697,-3.48646503705688,0.000489449357486934,0.0392849962740493
"ENSG00000244731",252.485219109494,1.05924133190246,0.305931666835046,3.46234616004491,0.000535487946630137,0.0392849962740493
"ENSG00000135480",270.573623980656,1.04093259150288,0.302444930043418,3.44172604035203,0.000578015321338964,0.0408977951809614
"ENSG00000151150",366.004554055654,-0.839180669707177,0.24460316535242,-3.43078417852075,0.000601839219949247,0.0416577407895305
"ENSG00000149131",635.102290072076,0.855132591704287,0.250366958028345,3.41551696133751,0.000636610646219832,0.043126985054552
"ENSG00000149591",3515.76467994485,0.910687326940047,0.268018560655396,3.39785171860153,0.000679172216682201,0.0450517570399194
"ENSG00000140396",272.215245849093,-0.855079912689383,0.252130156940891,-3.39142260118391,0.000695307987466511,0.0451808292263953
"ENSG00000211896",1470.43375693867,-0.916222199592398,0.27210859994486,-3.36711959775641,0.000759577391432447,0.0483698882864182
"ENSG00000064393",855.159679579828,-0.78833682280967,0.234802506406759,-3.3574463700315,0.000786660025472794,0.0491122651197132
"ENSG00000143797",343.795638714232,-1.02829034300378,0.308618594942464,-3.33191311170179,0.000862511806690489,0.0528122613942792
"ENSG00000012223",2891.54248369776,2.3448796038191,0.710199205844784,3.30172096014929,0.000960936146597725,0.0533181448886823
"ENSG00000102287",346.811082870328,0.81594716728601,0.248334412267597,3.28567901578929,0.00101736871995515,0.0533181448886823
"ENSG00000138814",1570.73913157593,-0.697155313222259,0.210923685481716,-3.30524906024692,0.000948920352352782,0.0533181448886823
"ENSG00000152583",1898.66483103143,0.856318659702336,0.260623627273009,3.28565245086288,0.00101746466312743,0.0533181448886823
"ENSG00000154305",782.312475677318,-0.770048431890605,0.234054962563729,-3.29003249260709,0.00100175814233018,0.0533181448886823
"ENSG00000160191",481.606343061191,-0.866782914812618,0.262008970760661,-3.30821846403268,0.000938915355270054,0.0533181448886823
"ENSG00000171992",371.085931772201,0.781917077790762,0.238059735131237,3.28454149274639,0.0010214845597392,0.0533181448886823
"ENSG00000185215",502.468904872602,0.957675106766731,0.290416833577893,3.29758814242382,0.000975190613388058,0.0533181448886823
"ENSG00000205542",734.161793799633,0.786080155300483,0.238561791227032,3.29507986696996,0.00098393710817353,0.0533181448886823
